    -3.9    483.0     93.1    944.0     -7.9   1272.0    -11.9    920.0     -9.9    837.0    -11.9   1017.0     -3.9   1214.0    -12.9   1028.0      4.1    438.0    -12.9    745.0     -5.9    632.0     -2.9    513.0    -16.9    225.0
   -10.9    751.0     -9.9   1009.0      4.1   1035.0      1.1    824.0     87.1    854.0     -1.9   1148.0      0.1    796.0    -14.9    724.0     15.1    628.0     -1.9    859.0      0.1    609.0     -1.9    481.0     19.1    575.0
     3.1    711.0      2.1    959.0     31.1    791.0    -13.9    526.0     -7.9    863.0     41.1   1079.0    -10.9    751.0     34.1    965.0     27.1    515.0     -7.9    611.0    -11.9    879.0     -2.9    648.0     -6.9    526.0
     0.1    373.0     -2.9    642.0     14.1   1156.0     -1.9    535.0     -4.9    921.0     -7.9   1057.0     -2.9   1022.0     -3.9    814.0     -5.9    541.0    -10.9    859.0     -4.9    636.0     23.1    502.0     22.1    471.0
    -1.9   1096.0    -13.9    740.0     -2.9    667.0     -9.9    640.0     -7.9    730.0    -10.9    933.0     -9.9   1027.0     20.1   1230.0    -10.9    460.0     -5.9    795.0     -8.9    811.0      8.1    417.0     33.1    318.0
    24.1    652.0     26.1    794.0     -5.9   1005.0     -3.9    561.0     -6.9    834.0     -5.9    689.0     -1.9    781.0    -11.9    596.0     26.1    653.0    -12.9    671.0     -9.9    501.0     -6.9    416.0     -6.9    469.0
    -8.9    921.0     -6.9    764.0     -0.9   1122.0     -0.9    875.0     11.1   1098.0     -2.9    770.0      8.1    657.0     -0.9   1214.0      1.1    498.0     -0.9    630.0      4.1    769.0    -12.9    435.0      6.1    373.0
    -5.9    896.0     -4.9    924.0      0.1   1247.0     10.1    581.0     -4.9   1081.0     -7.9    969.0     57.1    905.0     -0.9    944.0     -8.9    260.0     -0.9    501.0     -7.9    749.0     -3.9    550.0     -2.9    532.0
   -10.9    846.0     -4.9    628.0      1.1    652.0      4.1   1292.0      5.1    819.0    -11.9   1144.0     -8.9    693.0     -7.9   1280.0      2.1    630.0     -7.9    666.0     -7.9    608.0     -9.9    375.0     -6.9    458.0
    -6.9    -16.0     -5.9     23.0     -8.9     29.0     52.1      9.0     -8.9     41.0     -4.9     16.0     -4.9    -17.0      3.1      4.0     -7.9     -2.0     18.1      8.0     -3.9     41.0    -16.9     12.0     -7.9    -17.0
   190.0    417.4    266.0    224.4    148.0    334.4    548.0    370.4    417.0     45.4    120.0    665.4    337.0    373.4     50.0    486.4    254.0    535.4    171.0    563.4     59.0    594.4    108.0    432.4     87.0    185.4
   280.0    341.4    134.0    259.4    688.0    207.4    230.0    538.4    483.0    236.4    339.0    530.4    423.0    338.4     58.0    294.4    104.0    429.4    208.0    471.4    199.0    390.4     72.0    329.4    132.0    259.4
   163.0    532.4    127.0    395.4    272.0    550.4    318.0    233.4    237.0    349.4    408.0    809.4    634.0    317.4    168.0    440.4    171.0    496.4    304.0    427.4    141.0    261.4    162.0    277.4    140.0    257.4
    87.0   1061.4    186.0    401.4    156.0    241.4    591.0    238.4    533.0    255.4    253.0    619.4    423.0    673.4     54.0    512.4    283.0    560.4    150.0    546.4     -4.0    581.4     71.0    446.4     21.0    214.4
   203.0    448.4    208.0    522.4    402.0    310.4    551.0    592.4    346.0    290.4    540.0    792.4    378.0    370.4    227.0    507.4    286.0    576.4    178.0    376.4    354.0    448.4    178.0    433.4     62.0    238.4
   343.0    443.4    164.0    315.4    327.0    269.4    418.0    348.4    843.0    202.4    336.0    523.4    383.0    673.4     99.0    500.4    147.0    711.4    237.0    793.4     27.0    655.4    239.0    486.4    163.0    284.4
